,Season,Game,HR,Team,TOI(min)
0,2012,20001,Home,PHI,46.81666666666667
1,2012,20001,Road,PIT,46.81666666666667
2,2012,20002,Home,WPG,46.016666666666666
3,2012,20002,Road,OTT,46.016666666666666
4,2012,20003,Home,LAK,43.583333333333336
5,2012,20003,Road,CHI,43.583333333333336
6,2012,20004,Home,BOS,40.233333333333334
7,2012,20004,Road,NYR,40.233333333333334
8,2012,20005,Home,MTL,41.31666666666666
9,2012,20005,Road,TOR,41.31666666666666
10,2012,20006,Home,NYI,50.56666666666667
11,2012,20006,Road,NJD,50.56666666666667
12,2012,20007,Home,TBL,40.05
13,2012,20007,Road,WSH,40.05
14,2012,20008,Home,FLA,42.599999999999994
15,2012,20008,Road,CAR,42.599999999999994
16,2012,20009,Home,STL,47.01666666666667
17,2012,20009,Road,DET,47.01666666666667
18,2012,20010,Home,NSH,54.81666666666667
19,2012,20010,Road,CBJ,54.81666666666667
20,2012,20011,Home,DAL,45.766666666666666
21,2012,20011,Road,PHX,45.766666666666666
22,2012,20012,Home,MIN,42.06666666666668
23,2012,20012,Road,COL,42.06666666666668
24,2012,20013,Home,VAN,54.449999999999996
25,2012,20013,Road,ANA,54.449999999999996
26,2012,20014,Home,BUF,37.36666666666667
27,2012,20014,Road,PHI,37.36666666666667
28,2012,20015,Home,NYR,46.66666666666667
29,2012,20015,Road,PIT,46.66666666666667
30,2012,20016,Home,CGY,49.08333333333333
31,2012,20016,Road,SJS,49.08333333333333
32,2012,20017,Home,MIN,47.56666666666667
33,2012,20017,Road,DAL,47.56666666666667
34,2012,20018,Home,VAN,43.63333333333333
35,2012,20018,Road,EDM,43.63333333333333
36,2012,20019,Home,PHX,47.43333333333334
37,2012,20019,Road,CHI,47.43333333333334
38,2012,20020,Home,BOS,52.06666666666666
39,2012,20020,Road,WPG,52.06666666666666
40,2012,20021,Home,NYI,44.16666666666667
41,2012,20021,Road,TBL,44.16666666666667
42,2012,20022,Home,NSH,44.78333333333334
43,2012,20022,Road,STL,44.78333333333334
44,2012,20023,Home,TOR,43.11666666666667
45,2012,20023,Road,BUF,43.11666666666667
46,2012,20024,Home,OTT,47.51666666666667
47,2012,20024,Road,FLA,47.51666666666667
48,2012,20025,Home,CBJ,37.666666666666664
49,2012,20025,Road,DET,37.666666666666664
50,2012,20026,Home,CGY,52.483333333333334
51,2012,20026,Road,ANA,52.483333333333334
52,2012,20027,Home,WSH,47.76666666666667
53,2012,20027,Road,WPG,47.76666666666667
54,2012,20028,Home,CAR,42.13333333333334
55,2012,20028,Road,TBL,42.13333333333334
56,2012,20029,Home,MTL,35.86666666666667
57,2012,20029,Road,FLA,35.86666666666667
58,2012,20030,Home,NJD,41.916666666666664
59,2012,20030,Road,PHI,41.916666666666664
60,2012,20031,Home,DET,47.68333333333334
61,2012,20031,Road,DAL,47.68333333333334
62,2012,20032,Home,MIN,47.75
63,2012,20032,Road,NSH,47.75
64,2012,20033,Home,CHI,52.43333333333334
65,2012,20033,Road,STL,52.43333333333334
66,2012,20034,Home,COL,41.2
67,2012,20034,Road,LAK,41.2
68,2012,20035,Home,EDM,45.116666666666674
69,2012,20035,Road,SJS,45.116666666666674
70,2012,20036,Home,PIT,39.95000000000001
71,2012,20036,Road,TOR,39.95000000000001
72,2012,20037,Home,NYR,40.866666666666674
73,2012,20037,Road,BOS,40.866666666666674
74,2012,20038,Home,VAN,46.050000000000004
75,2012,20038,Road,CGY,46.050000000000004
76,2012,20039,Home,PHX,45.75
77,2012,20039,Road,CBJ,45.75
78,2012,20040,Home,TOR,50.483333333333334
79,2012,20040,Road,NYI,50.483333333333334
80,2012,20041,Home,PHI,49.0
81,2012,20041,Road,NYR,49.0
82,2012,20042,Home,WSH,45.25
83,2012,20042,Road,MTL,45.25
84,2012,20043,Home,CAR,40.81666666666666
85,2012,20043,Road,BUF,40.81666666666666
86,2012,20044,Home,FLA,48.95
87,2012,20044,Road,OTT,48.95
88,2012,20045,Home,STL,45.800000000000004
89,2012,20045,Road,NSH,45.800000000000004
90,2012,20046,Home,DAL,46.76666666666668
91,2012,20046,Road,CHI,46.76666666666668
92,2012,20047,Home,COL,42.25000000000001
93,2012,20047,Road,CBJ,42.25000000000001
94,2012,20048,Home,EDM,31.666666666666668
95,2012,20048,Road,LAK,31.666666666666668
96,2012,20049,Home,SJS,43.56666666666667
97,2012,20049,Road,PHX,43.56666666666667
98,2012,20050,Home,BOS,47.00000000000001
99,2012,20050,Road,NYI,47.00000000000001
100,2012,20051,Home,BUF,47.75
101,2012,20051,Road,CAR,47.75
102,2012,20052,Home,NJD,40.266666666666666
103,2012,20052,Road,WSH,40.266666666666666
104,2012,20053,Home,TBL,48.85
105,2012,20053,Road,OTT,48.85
106,2012,20054,Home,DET,0.016666666666666666
107,2012,20054,Road,MIN,0.016666666666666666
108,2012,20055,Home,WPG,55.25
109,2012,20055,Road,PIT,55.25
110,2012,20056,Home,ANA,41.45
111,2012,20056,Road,VAN,41.45
112,2012,20057,Home,SJS,47.85000000000001
113,2012,20057,Road,COL,47.85000000000001
114,2012,20058,Home,NYR,46.266666666666666
115,2012,20058,Road,TOR,46.266666666666666
116,2012,20059,Home,CBJ,43.26666666666667
117,2012,20059,Road,CHI,43.26666666666667
118,2012,20060,Home,FLA,41.83333333333333
119,2012,20060,Road,PHI,41.83333333333333
120,2012,20061,Home,DAL,47.88333333333333
121,2012,20061,Road,STL,47.88333333333333
122,2012,20062,Home,PHX,44.333333333333336
123,2012,20062,Road,LAK,44.333333333333336
124,2012,20063,Home,CGY,41.78333333333334
125,2012,20063,Road,EDM,41.78333333333334
126,2012,20064,Home,ANA,46.45
127,2012,20064,Road,NSH,46.45
128,2012,20065,Home,WSH,51.01666666666667
129,2012,20065,Road,BUF,51.01666666666667
130,2012,20066,Home,OTT,47.50000000000001
131,2012,20066,Road,PIT,47.50000000000001
132,2012,20067,Home,MTL,48.93333333333334
133,2012,20067,Road,NJD,48.93333333333334
134,2012,20068,Home,TBL,41.15
135,2012,20068,Road,PHI,41.15
136,2012,20069,Home,CHI,45.33333333333333
137,2012,20069,Road,DET,45.33333333333333
138,2012,20070,Home,WPG,49.766666666666666
139,2012,20070,Road,NYI,49.766666666666666
140,2012,20071,Home,STL,44.116666666666674
141,2012,20071,Road,MIN,44.116666666666674
142,2012,20072,Home,SJS,33.13333333333333
143,2012,20072,Road,VAN,33.13333333333333
144,2012,20073,Home,CAR,0.016666666666666666
145,2012,20073,Road,BOS,0.016666666666666666
146,2012,20074,Home,CBJ,42.38333333333334
147,2012,20074,Road,DAL,42.38333333333334
148,2012,20075,Home,PHX,46.63333333333333
149,2012,20075,Road,NSH,46.63333333333333
150,2012,20076,Home,EDM,44.13333333333333
151,2012,20076,Road,COL,44.13333333333333
152,2012,20077,Home,LAK,48.16666666666667
153,2012,20077,Road,VAN,48.16666666666667
154,2012,20078,Home,BOS,45.900000000000006
155,2012,20078,Road,NJD,45.900000000000006
156,2012,20079,Home,BUF,55.76666666666667
157,2012,20079,Road,TOR,55.76666666666667
158,2012,20080,Home,NYR,46.38333333333334
159,2012,20080,Road,PHI,46.38333333333334
160,2012,20081,Home,MTL,44.05
161,2012,20081,Road,WPG,44.05
162,2012,20082,Home,OTT,44.41666666666667
163,2012,20082,Road,WSH,44.41666666666667
164,2012,20083,Home,PIT,50.38333333333333
165,2012,20083,Road,NYI,50.38333333333333
166,2012,20084,Home,TBL,44.466666666666676
167,2012,20084,Road,FLA,44.466666666666676
168,2012,20085,Home,DET,41.216666666666676
